Car_VIN,Brand,Model,Year,Engine_Size,Fuel_Type,Price
VINPDVR2211GKFMCX,Ford,F-150,2015,2.7,Diesel,42406.54
VIN7XYOJ4ML4J9ZC0,Ford,F-150,2008,1.6,Diesel,46474.49
VINM8HW0J0IUY8Z5R,Mercedes-Benz,C-Class,2023,1.8,Diesel,32029.64
VINKD51KV1XX6UCN2,Nissan,Leaf,2016,3.5,Electric,43133.07
VINFLZO7VD0AIM1GD,Audi,A3,2006,1.9,Hybrid,27228.42
VINB05R6WKHHEWSAS,Hyundai,Kona Electric,2019,0.067009921,Electric,63496.29
VINQ95R3CIJWPKL1G,Chevrolet,Bolt EV,2013,1,Hybrid,41510.5
VINL80G5ZHWQ7XW2T,Tesla,Model 3,2018,0.032666968,Electric,77903.63
VINQA360P8PBOI73E,BMW,5 Series,2021,2.1,Diesel,
VINJHF3OXVDONXJ32,Toyota,Highlander,2021,3.1,Diesel,23304.01
VINOHVA3L8PJF8YEF,Chevrolet,Malibu,2022,1.7,Petrol,43445.86
VINKEUWGQCJRD2RFU,Mercedes-Benz,E-Class,2012,1.4,Diesel,30461.43
VINY4JH824QPFLQJR,BMW,3 Series,2006,3.1,Diesel,55021.61
VIN06WTAPFEYO6DDT,Tesla,Model 3,2006,0.053190813,Electric,76202.43
VINQP5K39ORWXWF41,Tesla,Model X,2018,0.014516205,Electric,54051.38
VINHGJRXHSYCZAF0Q,Ford,Mustang,2020,1.2,Diesel,33455.3
VIN119A17QNL9SBH5,Tesla,Model 3,2018,0.047723101,Electric,
VIN4PK4GGBPH12SYN,Chevrolet,Cruze,2008,2.8,Petrol,43334.19
VINNQA5ZC49FMPMCH,Mercedes-Benz,GLC,2016,2,Diesel,52085.47
VIN7K1CZC388LY73X,Mercedes-Benz,EQC,2019,0,Electric,37858.05
VIN8J0AVONQV3CPJE,Hyundai,Elantra,2019,1.9,Petrol,29731.27
VING4AQZ7RVQJL8YB,Audi,Q5,2022,1.1,Diesel,39325.49
VINHPEXDC9L9MYBH5,Chevrolet,Bolt EV,2013,2.1,Diesel,30420.3
VINBHDEE5Y0DE3T99,Ford,Mustang,2009,2.5,Petrol,27451.79
VINYEAHE8C3MQU4FN,Volkswagen,Passat,2000,3.1,Hybrid,31999.24
VINQ6F6Z4DHA1NGJV,Hyundai,Elantra,2012,3.4,Petrol,50260.53
VINWSD1ZDRNKMQHPV,Nissan,Altima,2011,3.3,Hybrid,47518.92
VIN11N45HD8GQ7L3N,Toyota,Prius,2019,1.3,Hybrid,
VINRCIXZCJWBF000S,Hyundai,Kona Electric,2019,0.093323698,Electric,55633.66
VINYCIDYQJIIXE637,Tesla,Model X,2007,0.082144446,,53271.07
VINQUMFAO936YEP6Q,Ford,F-150,2021,3.4,Petrol,52372.33
VINIAWIN58AGN2YH7,Toyota,Highlander,2008,1.8,Diesel,26200.22
VINO80X1NAOF5VNDJ,Mercedes-Benz,C-Class,2014,3.2,Diesel,42994.92
VINR6IEU011I59NQQ,Ford,Focus,2021,1.2,Hybrid,32535.82
VINFAVJ5F4SW5B30P,Toyota,Corolla,2014,1.8,Diesel,47537.59
VINBU62DCP2ECVE1U,Tesla,Model Y,2009,0.057195832,Electric,77429.03
VINZN6DDTL0B8KO3A,BMW,5 Series,2015,2.7,Diesel,20166.36
VINFUWF7XERNLBCKE,Ford,Mustang,2023,1.7,Hybrid,
VINFBP38GKUXHK033,Audi,Q5,2005,2.9,Diesel,36029.63
VIN5D94G96ENWSSH4,Chevrolet,Bolt EV,2012,2.8,Diesel,33064.11
VINPHGAV9THGXAIJQ,Mercedes-Benz,GLC,2017,1.3,Diesel,58959.33
VINC9K36HHAI3Y871,Hyundai,Ioniq,2021,2.8,Diesel,20242.54
VINISLMVY2JJV40SM,Chevrolet,Equinox,2007,1.7,Hybrid,39154.18
VIN1B9KDRF943TCHQ,Nissan,Sentra,2012,3.1,Petrol,47850.18
VINLRIU9KOBRNM0FS,Chevrolet,Malibu,2005,1.9,Petrol,59972.86
VINA32C8ZH6ZDU1RS,Tesla,Model S,2019,0.017932447,Electric,53735.65
VINLQU358GBAC442S,Hyundai,Santa Fe,2007,2.1,Diesel,35180.06
VINTF1JOXROSFP8XK,Toyota,Highlander,2007,3.4,Hybrid,29303.86
VINVJH3YL9FUDEM0B,Ford,Mustang,2016,1.6,Hybrid,
VINN0IS9V97F8DX7K,Audi,A4,2002,1.9,Diesel,21296.78
VINIJ6OPEMRMO5WLL,Toyota,Corolla,2000,1.6,Petrol,28205.44
VINGN6HKXXWST2YGZ,Hyundai,Santa Fe,2021,2.5,Petrol,25370.96
VINNY2IBRFIQYOH8A,Audi,e-tron,2018,2,Electric,48750.5
VINBNDLZAHS2S8LRQ,Nissan,Sentra,2019,1.4,,40908.16
VINJEZ2S8Q351QQV7,Nissan,Altima,2023,2.3,Hybrid,25108.58
VIN4487X9WUA2GZLX,Chevrolet,Equinox,2021,3.3,Diesel,22174.71
VINNJKYI7EQ8SEIVQ,Chevrolet,Cruze,2001,2.6,Hybrid,34927.56
VINLM2Y9C5BKLOQCJ,Chevrolet,Malibu,2005,3.2,Diesel,21577.92
VIN0GO1C7T23VAPHH,BMW,X3,2018,3.4,Diesel,23152.27
VIN35M22RIMSCOUHX,Audi,e-tron,2021,1.8,Electric,58513.32
VINR08OEM63L1VYTY,Mercedes-Benz,C-Class,2017,3.3,Petrol,53990.56
VINHUHVBTD4PZ8ALU,Chevrolet,Cruze,2001,3.4,Petrol,50327.74
VIN37XOAQ1U9NPJWL,Nissan,Sentra,2014,3.5,Diesel,20046.48
VINXYEGCKRH0EKWNA,Chevrolet,Bolt EV,2006,1.5,Hybrid,37673.91
VINTZVNQJ0G6S45KE,Mercedes-Benz,E-Class,2003,2.7,Hybrid,46187.91
VIN0KZOBAHZC617BT,Tesla,Model S,2009,0.048904853,Electric,71564.73
VIN7RTYEGJY3V4GDP,Volkswagen,Golf,2019,3.1,Diesel,22971.45
VINX2KVRI16W30FQX,Mercedes-Benz,EQC,2020,0,Electric,55065.21
VIN6NE2WN2PYO0HD5,Nissan,Sentra,2018,3.5,Petrol,54653.5
VINDSMV5ARETFDVMH,Tesla,Model X,2013,0.026755058,Electric,70484.87
VINP27II5GUQRDH13,Mercedes-Benz,EQC,2019,0,Electric,21138.71
VINBT4T7AFB9RCEJX,Hyundai,Santa Fe,2005,2.8,Hybrid,40441.15
VINS51Z3RID7JEVXF,Audi,A4,2023,3.1,Hybrid,31847.16
VINC1KM3TNBN694OR,Mercedes-Benz,E-Class,2021,2.6,Diesel,50735.27
VINFEXZOYTNGC66F0,Nissan,Sentra,2018,1.9,Diesel,23660.36
VINVWGLYMDFX6VYSG,Audi,Q5,2012,2.5,Petrol,39495.73
VINN5A3H4ORQMJ2YT,BMW,X5,2023,1.4,Hybrid,40260.83
VIN3HH6S3Y5NWLKAM,Toyota,Corolla,2023,3,Hybrid,30972.22
VIN1BJAYKT7K1PV4S,Tesla,Model 3,2009,0.097662299,Electric,74403.09
VINAF5O8Q5SAWJQ09,Volkswagen,Golf,2019,2.4,Hybrid,27935.26
VIN0XFWW7TWOHFWPG,Chevrolet,Malibu,2012,2.3,Petrol,32229.43
VIN9REMTVM4WU0LP2,Hyundai,Elantra,2002,3.1,Diesel,36928.55
VIN7WI08K0WMKA28X,Ford,F-150,2002,1.9,Hybrid,32329.01
VIN9H6QTOMP62VVRS,Tesla,Model Y,2015,0.040328382,Electric,31914.79
VINY0185ND5GAI6Y4,Toyota,Highlander,2006,1.3,Diesel,40512.53
VINF3BAECF41SQYGP,Mercedes-Benz,E-Class,2002,2,Petrol,49777.05
VINWQHD3WXC5XU648,Chevrolet,Bolt EV,2007,3.3,Hybrid,27086.52
