Car_VIN,Sales_Count,Customer_Rating,Region
VINPDVR2211GKFMCX,232,4.2,North
VIN7XYOJ4ML4J9ZC0,68,5.0,West
VINM8HW0J0IUY8Z5R,244,2.7,East
VINKD51KV1XX6UCN2,132,3.1,West
VINFLZO7VD0AIM1GD,388,2.3,East
VINB05R6WKHHEWSAS,152,1.2,North
VINQ95R3CIJWPKL1G,378,2.9,South
VINL80G5ZHWQ7XW2T,195,4.0,East
VINQA360P8PBOI73E,327,3.1,West
VINJHF3OXVDONXJ32,426,4.1,North
VINOHVA3L8PJF8YEF,235,2.8,North
VINKEUWGQCJRD2RFU,88,1.6,East
VINY4JH824QPFLQJR,312,2.8,West
VIN06WTAPFEYO6DDT,248,3.9,East
VINQP5K39ORWXWF41,311,2.0,North
VINHGJRXHSYCZAF0Q,231,1.6,North
VIN119A17QNL9SBH5,354,2.4,West
VIN4PK4GGBPH12SYN,345,2.6,East
VINNQA5ZC49FMPMCH,247,2.3,West
VIN7K1CZC388LY73X,175,2.7,South
VIN8J0AVONQV3CPJE,198,4.4,East
VING4AQZ7RVQJL8YB,133,4.5,North
VINHPEXDC9L9MYBH5,232,2.3,East
VINBHDEE5Y0DE3T99,337,3.2,East
VINYEAHE8C3MQU4FN,144,2.2,East
VINQ6F6Z4DHA1NGJV,114,2.5,West
VINWSD1ZDRNKMQHPV,295,4.3,East
VIN11N45HD8GQ7L3N,303,4.9,North
VINRCIXZCJWBF000S,73,4.0,West
VINYCIDYQJIIXE637,151,1.3,North
VINQUMFAO936YEP6Q,103,2.9,North
VINIAWIN58AGN2YH7,204,1.3,East
VINO80X1NAOF5VNDJ,305,1.1,East
VINR6IEU011I59NQQ,52,3.2,West
VINFAVJ5F4SW5B30P,80,3.3,North
VINBU62DCP2ECVE1U,210,1.0,South
VINZN6DDTL0B8KO3A,333,4.4,North
VINFUWF7XERNLBCKE,397,3.7,North
VINFBP38GKUXHK033,329,1.5,North
VIN5D94G96ENWSSH4,500,5.0,East
VINPHGAV9THGXAIJQ,78,1.0,North
VINC9K36HHAI3Y871,490,1.3,South
VINISLMVY2JJV40SM,109,1.9,North
VIN1B9KDRF943TCHQ,295,4.9,East
VINLRIU9KOBRNM0FS,220,3.7,East
VINA32C8ZH6ZDU1RS,158,1.6,West
VINLQU358GBAC442S,159,1.7,East
VINTF1JOXROSFP8XK,252,3.0,West
VINVJH3YL9FUDEM0B,393,2.4,South
VINN0IS9V97F8DX7K,98,2.7,West
VINIJ6OPEMRMO5WLL,277,2.4,North
VINGN6HKXXWST2YGZ,371,2.6,West
VINNY2IBRFIQYOH8A,198,3.6,West
VINBNDLZAHS2S8LRQ,315,3.5,East
VINJEZ2S8Q351QQV7,388,4.9,East
VIN4487X9WUA2GZLX,499,3.0,West
VINNJKYI7EQ8SEIVQ,355,5.0,West
VINLM2Y9C5BKLOQCJ,73,1.3,East
VIN0GO1C7T23VAPHH,296,2.4,South
VIN35M22RIMSCOUHX,224,2.2,East
VINR08OEM63L1VYTY,251,1.6,West
VINHUHVBTD4PZ8ALU,167,2.7,South
VIN37XOAQ1U9NPJWL,244,3.4,West
VINXYEGCKRH0EKWNA,124,2.2,South
VINTZVNQJ0G6S45KE,284,1.3,North
VIN0KZOBAHZC617BT,193,3.8,East
VIN7RTYEGJY3V4GDP,86,1.9,South
VINX2KVRI16W30FQX,369,3.4,East
VIN6NE2WN2PYO0HD5,300,4.0,South
VINDSMV5ARETFDVMH,377,2.3,North
VINP27II5GUQRDH13,419,2.3,South
VINBT4T7AFB9RCEJX,115,1.5,East
VINS51Z3RID7JEVXF,91,3.3,South
